,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
2026,-0.006632181
2028,0.013284341
2030,-0.00961497
2032,-0.001771426
2034,0.005666502
2036,0.000196758
2038,0.000406684
2040,-0.009509804
2042,0.007105337
2044,0.003465783
2046,-0.00626529
2048,0.005902439
2050,-0.001171351
2052,-0.002564165
2054,-0.000748317
2056,0.006264205
2058,-0.007010007
2060,-0.002211221
2062,0.011590517
2064,-0.011737246
2066,0.005511582
2068,0.000424729
2070,-0.000660328
2072,-0.00254138
2074,-0.000375741
2076,0.00208008
2078,0.005331686
2080,-0.004479808
2082,-0.000797082
2084,-0.001651685
2086,0.004003921
2088,-0.005104767
2090,0.002600709
2092,0.001576263
2094,-0.000341632
2096,-0.000259134
2098,-0.002516427
2100,0.001478957
2102,-0.002639016
2104,0.008918464
2106,-0.008994928
2108,0.004370794
2110,-0.00202387
2112,0.001054702
2114,-0.002841005
2116,0.003298231
2118,-0.001234014
2120,0.002833154
2122,-2.16E-05
2124,-0.004392914
2126,-1.21E-05
2128,0.002379896
2130,0.006081394
2132,-0.013542644
2134,0.011322871
2136,-0.005696068
2138,0.000324644
2140,-0.001407568
2142,0.008298148
2144,-0.008305377
2146,0.001530431
2148,-0.000975536
2150,0.01235337
2152,-0.020554753
2154,0.009985024
2156,0.005538142
2158,-0.013410894
2160,0.011375744
2162,-0.004252596
2164,0.005928551
2166,-0.005973776
2168,-0.002806648
2170,0.011624474
2172,-0.006996424
2174,-0.011494853
2176,0.01880974
2178,-0.012774593
2180,0.006386762
2182,-0.006342507
2184,0.00990718
2186,-0.008033147
2188,-0.001539465
2190,0.009424689
2192,-0.005271572
2194,0.000409683
2196,0.008307678
2198,-0.011923963
2200,0.003474381
2202,-0.006585546
2204,0.009794371
2206,-0.003953889
2208,-0.002392682
2210,0.010176056
2212,-0.011299188
2214,0.004140247
2216,0.000861407
2218,-0.001725934
2220,-0.004654501
2222,0.007780629
2224,0.000653305
2226,0.001915562
2228,-0.014145216
2230,0.016131529
2232,-0.005243513
2234,-0.008553977
2236,0.016531645
2238,-0.016558546
2240,0.009308095
2242,-0.003544237
2244,0.007159027
2246,-0.010649551
2248,0.008489245
2250,-0.005146354
2252,0.001208902
2254,-0.002649314
2256,0.007567538
2258,-0.011105195
2260,0.00487601
2262,0.002244728
2264,0.002883867
2266,-0.003568913
2268,-0.002712641
2270,-0.001131858
2272,0.010976397
2274,-0.011932019
2276,0.004930158
2278,0.006136541
2280,-0.00796789
2282,-0.002041702
2284,0.006045216
