S,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
42,0.0006630236271121248
42.0625,0.000636312563528918
42.125,-0.0006856859613435518
42.1875,-9.051690597061679e-05
42.25,0.0007033784754639782
42.3125,-0.0005463525667437352
42.375,0.0002696205854135769
42.4375,-0.0002409605031061801
42.5,-0.00022482910821963742
42.5625,0.0006569605375261744
42.625,-0.0004441314729319856
42.6875,-0.0010018717375714914
42.75,0.0026123445877601625
42.8125,-0.0021477294467331376
42.875,0.0005331901888894208
42.9375,-0.0006591615147044649
43,0.0017667149450062425
43.0625,-0.0010629121334204683
43.125,3.4743539600867734e-05
43.1875,-0.00036149532434137654
43.25,0.00029370389142968634
43.3125,9.37369790676712e-05
43.375,-9.993721761247798e-05
43.4375,0.0002056878116718508
43.5,0.00010939006500620962
43.5625,-0.0003166486521877232
43.625,0.00022493183848837361
43.6875,-0.0004806354354514042
43.75,0.0003149939686863945
43.8125,0.00016712853323497256
43.875,0.00019044772159304557
43.9375,-0.000765533002322627
44,0.00022372184105279302
44.0625,0.00019352134472683247
44.125,0.00022953302902806172
44.1875,-0.0003240932358039572
44.25,0.0002515321568807849
44.3125,-0.00026186398827121593
44.375,0.0005340570510270481
44.4375,-0.0007987536605469359
44.5,0.00043326855347913806
44.5625,-0.00014468412246060325
44.625,0.0004717982733382087
44.6875,-0.0012868571275248541
44.75,0.0015649317219867953
44.8125,-0.0005752613674303575
44.875,-0.0003651440749763424
44.9375,0.0007365500209743914
45,-0.00035584483271122735
45.0625,-0.0005924983952354523
45.125,0.0007668550665584917
45.1875,-0.0004108472637653904
45.25,0.00019018072805465636
45.3125,-0.00034534113524387067
45.375,0.0005780111678177491
45.4375,-0.00019518267890816787
45.5,-0.00026733081881502585
45.5625,0.00028463006174206384
45.625,-0.00011680955935844395
45.6875,0.00014979222839883732
45.75,-0.0006143393420643406
45.8125,2.4941929410715602e-05
45.875,0.00045611920995725086
45.9375,0.0010620400416883058
46,-0.0011848572967210202
46.0625,-0.00024312535629178456
46.125,0.0005972221970296232
46.1875,-0.0005789843271486461
46.25,0.0006937776220183878
46.3125,-0.00037757408222205413
46.375,-0.00015228293648306135
46.4375,0.0002643947709657368
46.5,-0.00022121675158359722
46.5625,0.0002136635401939202
46.625,0.00023068744781085115
46.6875,-0.0011746750487873214
46.75,0.0014645196415585815
46.8125,-0.0006157902134873439
46.875,-0.0002802248673106078
46.9375,0.0007033162887637445
47,-0.0005835630076944653
47.0625,-0.000539111226771638
47.125,0.0016515921288373647
47.1875,-0.000993805997495656
47.25,-0.000311868831204265
47.3125,0.00034382981084490893
47.375,-8.719784005961628e-05
47.4375,0.00036383730162015127
47.5,0.00010585196008605635
47.5625,-0.00033293778756160464
47.625,-0.0008446338028988976
47.6875,0.0007206456871244882
47.75,3.944305504433032e-05
47.8125,2.5789542945631183e-05
47.875,0.0012499900776674622
47.9375,-0.0024384567041124683
48,0.0020258312360965647
48.0625,-0.0012914595117763383
48.125,0.0007243904747156193
48.1875,-0.000336951018198306
48.25,0.00041469851908004784
48.3125,-0.0009776633760338882
48.375,0.000868377753704408
48.4375,-0.0005178516175874393
48.5,0.0016474480162287364
48.5625,-0.002246940312033985
48.625,0.0004121476706586691
48.6875,0.001017410795611795
48.75,-0.0016859737570484867
48.8125,0.0016398083744206815
48.875,0.00012128843707159831
48.9375,0.0027499602310854243
49,-0.009856737051450182
49.0625,0.009393472282681614
49.125,-0.003221425231458852
49.1875,0.0022571659883396933
49.25,-0.0033668170544842724
49.3125,0.00028252759420865914
49.375,0.001636735532883904
49.4375,-0.0010508301784284413
49.5,-0.0027931473596254364
49.5625,0.008451781468465924
49.625,-0.010816286703629885
49.6875,0.0098778300525737
49.75,-0.0025110412025242113
49.8125,0.0036734768400492612
49.875,-0.012403666005411651
49.9375,0.014339299013954587
50,-0.010750723049568478
50.0625,0.004220024493406527
50.125,-0.0024733351438044338
50.1875,0.0019413566860748688
50.25,-0.00294601522909943
